epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1163.04,0.71019,0.70858,1.1031,0.91297,0.7883,0.87693,0.63062,1.03842,0.75581,1.22317,0.00999722,0.00333241,0.00999722,0.00333241,0.00999722,0.00333241,0.00999722,0.00333241
2,2074.4,0.74723,0.75072,1.11804,0.89774,0.78067,0.86803,0.6098,1.07258,0.81056,1.23757,0.0196013,0.00653376,0.0196013,0.00653376,0.0196013,0.00653376,0.0196013,0.00653376
3,2899.82,0.83068,0.86733,1.16829,0.87377,0.7195,0.83152,0.56128,1.1531,0.94213,1.31861,0.0288093,0.00960311,0.0288093,0.00960311,0.0288093,0.00960311,0.0288093,0.00960311
4,3698.51,0.91501,0.98985,1.22673,0.85374,0.76419,0.83979,0.56975,1.15566,0.90383,1.31202,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4495.8,0.91823,1.00333,1.23142,0.8826,0.76748,0.85694,0.58155,1.16046,0.87812,1.31479,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5289.94,0.91255,0.99826,1.22663,0.83962,0.74059,0.83554,0.57163,1.14544,0.87919,1.2963,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6083.61,0.90027,0.97719,1.22038,0.90309,0.77459,0.8687,0.60352,1.09591,0.82406,1.2573,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6877.6,0.90188,0.97465,1.21723,0.90268,0.78379,0.8757,0.61694,1.07317,0.78749,1.24295,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7672.32,0.89274,0.9618,1.21373,0.8974,0.79374,0.87919,0.61894,1.07905,0.7829,1.23699,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,8471.48,0.88942,0.9574,1.20991,0.90265,0.79889,0.88143,0.62738,1.04881,0.76607,1.21463,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
